day,session,session_type,hall,paper_id,time_slot,title,authors,affiliations,icra_keywords,matched_tc_keywords,matched_abstract_phrases,abstract
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.302,15:00-16:30,Dynamic UGV-UAV Cooperative Path Planning in Uncertain Environments,"Nguyen, Ninh; Akella, Srinivas",University of North Carolina at Charlotte; University of North Carolina at Charlotte,Path Planning for Multiple Mobile Robots or Agents; Cooperating Robots; Aerial Systems: Applications,Path Planning for Multiple Mobile Robots or Agents,,"This paper addresses the Dynamic UGV-UAV Cooperative Path Planning (DUCPP) problem involving one unmanned ground vehicle (UGV) assisted by one or more unmanned aerial vehicles (UAVs) operating on an uncertain road network with potentially impassable edges. DUCPP is particularly relevant for scenarios such as disaster response, emergency supply transport, and rescue operations, where a UGV must reach a specified destination in the presence of partially unknown road conditions. To enable the UGV to travel safely and efficiently to its destination, the UAV(s) dynamically inspect edges in the environment to identify and prune damaged or impassable edges from consideration. We present multiple strategies, including a bidirectional approach, to optimize UGV-UAV cooperation for finding a safe path in an uncertain road network. Furthermore, we explore the impact of using multiple UAVs on reducing the UGVs travel time, and evaluate the associated computation time. The proposed strategies are implemented and evaluated on 100 urban road networks. The results demonstrate that the bidirectional strategy achieves the best performance in most instances, and using multiple UAVs further reduces UGV travel time at the expense of increased computation time. This paper presents a robust framework for DUCPP to achieve efficient UGV-UAV cooperation for path planning and inspection, offering practical solutions for navigation in challenging and uncertain conditions."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.303,15:00-16:30,Learning to Drive by Imitating Surrounding Vehicles,"Sonmez, Yasin; Krasowski, Hanna; Arcak, Murat","University of California, Berkeley; University of California, Berkeley; University of California, Berkeley",Imitation Learning; Motion and Path Planning; Autonomous Vehicle Navigation,Motion and Path Planning,,"Imitation learning is a promising approach for training autonomous vehicles (AV) to navigate complex traffic environments by mimicking expert driver behaviors. While existing imitation learning frameworks focus on leveraging expert demonstrations, they often overlook the potential of additional complex driving data from surrounding traffic participants. In this paper, we study a data augmentation strategy that leverages the observed trajectories of nearby vehicles, captured by the AVs sensors, as additional demonstrations. We introduce a simple vehicle-selection sampling and filtering strategy that prioritizes informative and diverse driving behaviors, contributing to a richer dataset for training. We evaluate this idea with a representative learning-based planner on a large real-world dataset and demonstrate improved performance in complex driving scenarios. Specifically, the approach reduces collision rates and improves safety metrics compared to the baseline. Notably, even when using only 10 percent of the original dataset, the method matches or exceeds the performance of the full dataset. Through ablations, we analyze selection criteria and show that naive random selection can degrade performance. Our findings highlight the value of leveraging diverse real-world trajectory data in imitation learning and provide insights into data augmentation strategies for autonomous driving."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.304,15:00-16:30,Reinforcement Learning-Based Robust Wall Climbing Locomotion Controller in Ferromagnetic Environment,"Um, Yong; Shin, Young-Ha; Kim, Joon-Ha; Kwon, Soonpyo; Park, Hae-Won","Korea Advanced Institute of Science and Technology; KAIST; Diden Robotics Co., Ltd; Korea Advanced Institute of Science and Technology, KAIST; Korea Advanced Institute of Science and Technology",Legged Robots; Climbing Robots; Reinforcement Learning,,model predictive control,"We present a reinforcement learning framework for quadrupedal wall-climbing locomotion that explicitly addresses uncertainty in magnetic foot adhesion. A physics-based adhesion model of a quadrupedal magnetic climbing robot is incorporated into simulation to capture partial contact, air-gap sensitivity, and probabilistic attachment failures. To stabilize learning and enable reliable transfer, we design a three-phase curriculum: (1) acquire a crawl gait on flat ground without adhesion, (2) gradually rotate the gravity vector to vertical while activating the adhesion model, and (3) inject stochastic adhesion failures to encourage slip recovery. The learned policy achieves a high success rate, strong adhesion retention, and rapid recovery from detachment in simulation under degraded adhesion. Compared with a model predictive control (MPC) baseline that assumes perfect adhesion, our controller maintains locomotion when attachment is intermittently lost. Hardware experiments with the untethered robot further confirm robust vertical crawling on steel surfaces, maintaining stability despite transient misalignment and incomplete attachment. These results show that combining curriculum learning with realistic adhesion modeling provides a resilient sim-to-real framework for magnetic climbing robots in complex environments."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.305,15:00-16:30,Viability-Preserving Passive Torque Control,"Zhang, Zizhe; Wang, Yicong; Zhang, Zhiquan; Li, Tianyu; Figueroa, Nadia",University of Pennsylvania; University of Pennsylvania; University of Illinois-Urbana Champaign; University of Pennsylvania; University of Pennsylvania,Robot Safety; Collision Avoidance; Physical Human-Robot Interaction,Robot Safety; Collision Avoidance,,"Conventional passivity-based torque controllers for manipulators are typically unconstrained, which can lead to safety violations under external perturbations. In this paper, we employ viability theory to pre-compute safe sets in the state-space of joint positions and velocities. These viable sets, constructed via data-driven and analytical methods for self-collision avoidance, external object collision avoidance and joint-position and joint-velocity limits, provide constraints on joint accelerations and thus joint torques via the robot dynamics. A quadratic programming-based control framework enforces these constraints on a passive controller tracking a dynamical system, ensuring the robot states remain within the safe set in an infinite time horizon. We validate the proposed approach through simulations and hardware experiments on a 7-DoF Franka Emika manipulator. In comparison to a baseline constrained passive controller, our method operates at higher control-loop rates and yields smoother trajectories."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.306,15:00-16:30,Beyond Pairwise Costs: Hyper Graph of Convex Sets for Smoothness-Aware Trajectory Planning,"Zhang, Yunyi; Guo, Meng; Li, Zhongkui",Peking University; Peking University; Peking University,Motion and Path Planning; Optimization and Optimal Control; Constrained Motion Planning,Motion and Path Planning; Optimization and Optimal Control; Constrained Motion Planning,,"Classical graph of convex sets (GCS) formulations rely on pairwise edge costs, which are insufficient to capture higher-order geometric interactions relevant to trajectory refinement. This paper proposes a hyper graph of convex sets (HGCS), which extends GCS by introducing hyperedges over multiple vertices. Using a 3-uniform construction, a second-order smoothness cost is incorporated to favor path sequences that are more suitable for dynamically feasible trajectory generation. To preserve tractability, the HGCS is converted into an equivalent classical GCS, so the resulting shortest-path problem can still be solved with existing GCS methods. The discrete path is then refined by trajectory optimization within the corresponding safe corridor. Numerical simulations and quadrotor experiments show that the proposed method provides better initialization for downstream optimization, achieves shorter trajectory duration than hierarchical GCS baselines, and is faster than joint spatio-temporal optimization."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.31,15:00-16:30,An Intention-Aware Robust Safety Framework for Robot Teleoperation: Unifying Object Interaction and Obstacle Avoidance,"Gao, Zhitao; Peng, Fangyu; Chen, Chen; Zhang, Yukui; Zhou, Wenke; Jiang, ChengAo; Yan, Rong; Tang, Xiaowei; Wang, Yu",Huazhong University of Science and Technology; Huazhong University of Science and Technology; Wuhan University of Science and Technology; Huazhong University of Science and Technology; Huazhong University of Science and Technology; Huazhong University of Science and Technology; Huazhong University of Science and Technology; Huazhong University of Science and Technology; Huazhong University of Science and Technology,Telerobotics and Teleoperation; Intention Recognition; Robot Safety,Robot Safety,,"Control barrier functions (CBFs) have proven to be effective for obstacle avoidance in robot teleoperation systems. However, for classical CBF, model uncertainties and external disturbances can significantly degrade the robustness of safety control. Moreover, the fixed safety boundary lacks adaptability to dynamic switching on operational intentions. To address these limitations, this paper presents a hierarchical safety teleoperation framework that separates the safety layer from the leader-follower teleoperation layers. On this basis, a virtual proxy is introduced to construct a robust control-affine system decoupled from physical robot uncertainties and external disturbances. Building upon this, we propose an intention-aware adaptive control barrier function (IA-ACBF), which consists of two modules: intention detection and intention quantification. The intention detection module determines the operator's transient intention, which belongs to object interaction or obstacle avoidance. The intention quantification module then maps this to the adaptation of safety boundaries. Finally, the performance of the proposed method is validated through simulations and experiments with the physical robot."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.310,15:00-16:30,"GRACE: A Unified 2D Multi-Robot Path Planning Simulator & Benchmark for Grid, Roadmap, and Continuous Environments","Zang, Chuanlong; Mannucci, Anna; Barz, Isabelle; Schillinger, Philipp; Lier, Florian; Hoenig, Wolfgang","Robert Bosch GmbH, Corporate Research; Robert Bosch GmbH, Corporate Research; Robert Bosch GmbH, Corporate Research; Robert Bosch GmbH, Corporate Research; Robert Bosch GmbH, Corporate Research; Technical University of Berlin",Software Tools for Benchmarking and Reproducibility; Path Planning for Multiple Mobile Robots or Agents; Motion and Path Planning,Path Planning for Multiple Mobile Robots or Agents; Motion and Path Planning,,"Advancing Multi-Agent Pathfinding (MAPF) and Multi-Robot Motion Planning (MRMP) requires platforms that enable transparent, reproducible comparisons across modeling choices. Existing tools either scale under simplifying assumptions (grids, homogeneous agents) or offer higher fidelity with less comparable instrumentation. We present GRACE, a unified 2D simulator+benchmark that instantiates the same task at multiple abstraction levels (grid, roadmap, continuous) via explicit, reproducible operators and a common evaluation protocol. Our empirical results on public maps and representative planners enable commensurate comparisons on a shared instance set. Furthermore, we quantify the expected representationfidelity trade-offs (MRMP solves instances at higher fidelity but lower speed, while grid/roadmap planners scale farther). By consolidating representation, execution, and evaluation, GRACE thereby aims to make cross-representation studies more comparable and provides a means to advance multi-robot planning research and its translation to practice."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.313,15:00-16:30,Differentiable Particle Optimization for Fast Sequential Manipulation,"Chen, Lucas; Iyer, Shrutheesh Raman; Kingston, Zachary",Purdue University; Purdue University; Purdue University,Motion and Path Planning; Task and Motion Planning,Motion and Path Planning; Task and Motion Planning,,"Sequential robot manipulation tasks require finding collision-free trajectories that satisfy geometric constraints across multiple object interactions in potentially high-dimensional configuration spaces. Solving these problems in real-time and at large scales has remained out of reach due to computational requirements. Recently, GPU-based acceleration has shown promising results, but prior methods achieve limited performance due to CPU-GPU data transfer overhead and complex logic that prevents full hardware utilization. To this end, we present SPaSM (Sampling Particle optimization for Sequential Manipulation), a fully GPU-parallelized framework that compiles constraint evaluation, sampling, and gradient-based optimization into optimized CUDA kernels for end-to-end trajectory optimization without CPU coordination. The method consists of a two-stage particle optimization strategy: first solving placement constraints through massively parallel sampling, then lifting solutions to full trajectory optimization in joint space. Unlike hierarchical approaches, SPaSM jointly optimizes object placements and robot trajectories to handle scenarios where motion feasibility constrains placement options. Experimental evaluation on challenging benchmarks demonstrates solution times in the realm of milliseconds with a 100% success rate; a 4000x speedup compared to existing approaches. Code and examples are available at commalab.org/papers/spasm."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.315,15:00-16:30,Probabilistically-Safe Bipedal Navigation Over Uncertain Terrain Via Conformal Prediction and Contraction Analysis,"Muenprasitivej, Kasidit; Zhao, Ye; Chou, Glen",Northeastern University; Georgia Institute of Technology; Georgia Institute of Technology,Humanoid and Bipedal Locomotion; Planning under Uncertainty; Motion and Path Planning,Planning under Uncertainty; Motion and Path Planning,,"We address the challenge of enabling bipedal robots to traverse rough terrain by developing probabilistically safe planning and control strategies that ensure dynamic feasibility and centroidal robustness under terrain uncertainty. Specifically, we propose a high-level Model Predictive Control (MPC) navigation framework for a bipedal robot with a specified confidence level of safety that (i) enables safe traversal toward a desired goal location across a terrain map with uncertain elevations, and (ii) formally incorporates uncertainty bounds into the centroidal dynamics of locomotion control. To model the rough terrain, we employ Gaussian Process (GP) regression to estimate elevation maps and leverage Conformal Prediction (CP) to construct calibrated confidence intervals that capture the true terrain elevation. Building on this, we formulate contraction-based reachable tubes that explicitly account for terrain uncertainty, ensuring state convergence and tube invariance. In addition, we introduce a contraction-based flywheel torque control law for the reduced-order Linear Inverted Pendulum Model (LIPM), which stabilizes the angular momentum about the center-of-mass (CoM). This formulation provides both probabilistic safety and goal reachability guarantees. For a given confidence level, we establish the forward invariance of the proposed torque control law by demonstrating exponential stabilization of the actual CoM phase-space trajectory and the desired trajectory prescribed by the high-level planner. Finally, we evaluate the effectiveness of our planning framework through physics-based simulations of the Digit bipedal robot in MuJoCo."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.317,15:00-16:30,Cooperative Informed Tree (CoIT*): Cooperative Bi-Directional Multi-Resolution Motion Planning with Adaptive Edge Screening,"Tan, Xiao; Wang, Yaonan; Ding, Renjie; Liu, Min; Zhang, Zhe; Yu, Xiaoqian",Hunan University; Hunan University; Hunan University; Hunan University; Hunan University; Hunan University,Motion and Path Planning; Collision Avoidance; Task and Motion Planning,Motion and Path Planning; Collision Avoidance; Task and Motion Planning,,"In informed search-based path planning, heuristic functions that incorporate problem knowledge are essential for guiding the search and improving efficiency. The accuracy and computational cost of these heuristics are therefore critical to performance. However, accuracy and computational efficiency are often contradictory, making it difficult to select an appropriate heuristic for a given problem. In this paper, we present CoIT* (Cooperative Informed Tree*), an almost-asymptotically optimal asymmetric bi-directional planning algorithm designed to address these challenges. CoIT* introduces a multi-resolution and multi-heuristic queue cooperation mechanism between forward and reverse searches: the forward search interacts with the reverse search to provide cooperative information exchange, which enhances both local and global edge screening. This cooperation improves the accuracy of the reverse search, while multi-resolution exploration enables lazy edge validation in the forward search, thereby reducing planning time. We validate CoIT* on high-dimensional benchmark problems as well as simulated and real surgical robot planning tasks. Experimental results demonstrate that CoIT* achieves higher accuracy and significantly lower planning time compared with state-of-the-art planners."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.318,15:00-16:30,REACT: Real-Time Entanglement-Aware Coverage Path Planning for Tethered Underwater Vehicles,"Amer, Abdelhakim; Mehndiratta, Mohit; Brodskiy, Yury; Wehbe, Bilal; Kayacan, Erdal",Aarhus University; NestAI; EIVA; German Research Center for Artificial Intelligence; Paderborn University,Marine Robotics; Motion and Path Planning; Autonomous Vehicle Navigation,Motion and Path Planning,,"Inspection of underwater structures with tethered underwater vehicles is often hindered by the risk of tether entanglement. We propose REACT (real-time entanglement- aware coverage path planning for tethered underwater ve- hicles), a framework designed to overcome this limitation. REACT comprises a computationally efficient geometry-based tether model using the signed distance field (SDF) map for accurate, real-time simulation of taut tether configurations around arbitrary structures in 3D. This model enables an efficient online replanning strategy by enforcing a maximum tether length constraint, thereby actively preventing entanglement. By integrating REACT into a coverage path planning framework, we achieve safe and entanglement-free inspection paths, previously challenging due to tether constraints. The complete REACT frameworks efficacy is validated in a pipe inspection scenario, demonstrating safe navigation and full coverage inspection. Simulation results show that REACT achieves complete coverage while maintaining tether constraints and completing the total mission 20% faster than conventional planners, despite a longer inspection time due to proactive avoidance of entanglement that eliminates extensive post-mission disentanglement. Real-world experiments confirm these benefits, where REACT completes the full mission, while the baseline planner fails due to physical tether entanglement."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.32,15:00-16:30,Adaptive Non-Linear Centroidal MPC with Stability Guarantees for Robust Locomotion of Legged Robots,"Elobaid, Mohamed; Turrisi, Giulio; Rapetti, Lorenzo; Romualdi, Giulio; Dafarra, Stefano; Kawakami, Tomohiro; Chaki, Tomohiro; Yoshiike, Takahide; Semini, Claudio; Pucci, Daniele","KAUST (King Abdullah University of Science and Technology); Istituto Italiano Di Tecnologia; IIT; Istituto Italiano Di Tecnologia; Istituto Italiano Di Tecnologia; Honda R&D Co., Ltd; Honda R&D Co., Ltd; Honda R&D Co. Ltd.,; Istituto Italiano Di Tecnologia; Italian Institute of Technology",Legged Robots; Optimization and Optimal Control; Robust/Adaptive Control,Optimization and Optimal Control; Robust/Adaptive Control,,"Nonlinear model predictive locomotion controllers based on the reduced centroidal dynamics are nowadays ubiquitous in legged robots. These schemes, even if they assume an inherent simplification of the robots dynamics, were shown to endow robots with a step-adjustment capability in reaction to small pushes, and in the case of uncertain parameters - as unknown payloads - they were shown to provide some practical, albeit limited, robustness. In this work, we provide rigorous certificates of their closed-loop stability via reformulating the online centroidal MPC controller. This is achieved thanks to a systematic procedure inspired by the machinery of adaptive control, together with ideas coming from Control Lyapunov Functions. Our reformulation, in addition, provides robustness for a class of unmeasured constant disturbances. To demonstrate the generality of our approach, we validated our formulation on a new generation of humanoid robots - the 56.7 kg ergoCub, as well as on the commercially available 21 kg quadruped robot Aliengo."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.325,15:00-16:30,EgoTraj-Bench: Towards Robust Trajectory Prediction under Ego-View Noisy Observations,"Liu, Jiayi; Zhou, Jiaming; Ye, Ke; Lin, Kun-Yu; Wang, Allan; Liang, Junwei",The Hong Kong University of Science and Technology (Guangzhou); Hong Kong University of Science and Technology (Guangzhou); The Hong Kong University of Science and Technology (Guangzhou); The University of Hong Kong; Miraikan; HKUST (Guangzhou),Data Sets for Robotic Vision; Human-Aware Motion Planning,Human-Aware Motion Planning,,"Reliable trajectory prediction from an ego-centric perspective is crucial for robotic navigation in human-centric environments. However, existing methods typically assume noiseless observation histories, failing to account for the perceptual artifacts inherent in first-person vision, such as occlusions, ID switches, and tracking drift. This discrepancy between training assumptions and deployment reality severely limits model robustness. To bridge this gap, we introduce EgoTraj-Bench, built upon the TBD dataset, which is the first real-world benchmark that aligns noisy, first-person visual histories with clean, birds-eye-view future trajectories, enabling robust learning under realistic perceptual constraints. Building on this benchmark, we propose BiFlow, a dual-stream flow matching model that concurrently denoises historical observations and forecasts future motion. To better model agent intent, BiFlow incorporates our EgoAnchor mechanism, which conditions the prediction decoder on distilled historical features via feature modulation. Extensive experiments show that BiFlow achieves state-of-the-art performance, reducing minADE and minFDE by 1015% on average and demonstrating superior robustness. We anticipate that our benchmark and model will provide a critical foundation for robust real-world ego-centric trajectory prediction. The benchmark library is available at: https://github.com/zoeyliu1999/EgoTraj-Bench."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.326,15:00-16:30,Eventually Optimal and Scalable Multi-Agent Planning for Block Cave Mining,"Leet, Christopher; Forte, Paolo; Köckemann, Uwe; Andreasson, Henrik; Koenig, Sven","University of Southern California; Örebro University; Orebro Universitet; Örebro University; University of California, Irvine","Path Planning for Multiple Mobile Robots or Agents; Planning, Scheduling and Coordination; Mining Robotics","Path Planning for Multiple Mobile Robots or Agents; Planning, Scheduling and Coordination",,"Automation in underground mining has the potential to significantly enhance safety, operational efficiency, and sustainability. However, effectively coordinating fleets of autonomous vehicles in dynamic mine environments introduces substantial challenges in both optimization and motion planning. To address these challenges, we introduce and formalize the Block Cave Mining (BCM) problem, which focuses on computing a transport plan that maximizes ore throughput while satisfying draw ratio constraints. To solve this problem, we propose SAMM, an eventually optimal anytime solver that jointly integrates task assignment, scheduling, and path planning via a mixed-integer linear programming formulation. To improve scalability, we also introduce SAMMS, a variant of SAMM that trades optimality guarantees for efficiency by decomposing the problem into shorter planning subcycles. Experimental evaluations using realistic industrial mine scenarios demonstrate that SAMMS achieves near-optimal throughput and scales effectively to larger fleets and mine layouts."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.329,15:00-16:30,Crowd-FM: Learned Optimal Selection of Conditional Flow Matching-Generated Trajectories for Crowd Navigation,"Singha, Antareep; Nanwani, Laksh; Pulicken, Mathai Mathew; Jain, Samkit; Singamaneni, Phani Teja; Singh, Arun Kumar; Krishna, Madhava","Nanyang Technological University, Singapore; Robotics Research Center, IIIT Hyderabad, India; IIIT Hydrabad; International Institute of Information Technology, Hyderabad; LAAS-CNRS; University of Tartu; IIIT Hyderabad",Integrated Planning and Learning; Motion and Path Planning; Collision Avoidance,Integrated Planning and Learning; Motion and Path Planning; Collision Avoidance,,"Safe and computationally efficient local planning for mobile robots in dense, unstructured human crowds remains a fundamental challenge. Moreover, ensuring that robot trajectories are similar to how a human moves will increase the acceptance of the robot in human environments. In this paper, we present Crowd-FM, a learning-based approach to address both safety and human-likeness challenges. Our approach has two novel components. First, we train a Conditional Flow-Matching (CFM) policy over a dataset of optimally controlled trajectories to learn a set of collision-free primitives that a robot can choose at any given scenario. The chosen optimal control solver can generate multi-modal collision-free trajectories, allowing the CFM policy to learn a diverse set of maneuvers. Secondly, we learn a score function over a dataset of human demonstration trajectories that provides a human-likeness score for the flow primitives. At inference time, computing the optimal trajectory requires selecting the one with the highest score. Our approach improves the state-of-the-art by showing that our CFM policy alone can produce collision-free navigation with a higher success rate than existing learning-based baselines. Furthermore, when augmented with inference-time refinement, our approach can outperform even expensive optimisation-based planning approaches. Finally, we validate that our scoring network can select trajectories closer to the expert data than a manually designed cost function."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.331,15:00-16:30,Failure-Aware RL: Reliable Offline-To-Online Reinforcement Learning with Self-Recovery for Real-World Manipulation,"Li, Huanyu; Lei, Kun; Zang, Sheng; Hu, Kaizhe; Liang, Yongyuan; An, Bo; Li, Xiaoli; Xu, Huazhe",Shanghai Jiao Tong University; Shanghai Qizhi Institute; Nanyang Technological University; Tsinghua University; University of Maryland; Nanyang Technological University; Institute for Infocomm Research; Tsinghua University,Reinforcement Learning; Deep Learning in Grasping and Manipulation; Robot Safety,Robot Safety,,"Post-training algorithms based on deep reinforcement learning can push the limits of robotic models for specific objectives, such as generalizability, accuracy, and robustness. However, Intervention-requiring Failures (IR Failures) (e.g., a robot spilling water or breaking fragile glass) during real-world exploration happen inevitably, hindering the practical deployment of such a paradigm. To tackle this, we introduce Failure-Aware Offline-to-Online Reinforcement Learning (FARL), a framework for minimizing failures during real-world reinforcement learning. We create FailureBench, a benchmark that incorporates common failure scenarios requiring human intervention, and propose an algorithm that integrates a world-model-based safety critic and a recovery policy trained offline to prevent failures during online exploration. Extensive simulation and real-world experiments demonstrate the effectiveness of FARL in significantly reducing IR Failures while improving performance and generalization during online reinforcement learning post-training. FARL reduces IR Failures by 73.1% while elevating performance by 11.3% on average during real-world RL post-training."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.332,15:00-16:30,NavGSim: High-Fidelity Gaussian Splatting Simulator for Large-Scale Navigation,"Liu, Jiahang; Duan, Yuanxing; Zhang, Jiazhao; Li, Minghan; Wang, Shaoan; Zhang, Zhizheng; Wang, He","Harbin Institute of Technology(ShenZhen); Galbot; Peking University; Galbot; Peking University; Beijing Galbot Co., Ltd; Peking University",Simulation and Animation; Integrated Planning and Learning; Learning from Demonstration,Integrated Planning and Learning,,"Simulating realistic environments for robots is widely recognized as a critical challenge in robot learning, particularly in terms of rendering and physical simulation. This challenge becomes even more pronounced in navigation tasks, where trajectories often extend across multiple rooms or even entire floors. In this work, we present NavGSim, a Gaussian Splatting-based simulator designed to generate high-fidelity, large-scale navigation environments. Built upon a hierarchical 3D Gaussian Splatting framework, NavGSim enables photorealistic rendering in expansive scenes spanning hundreds of square meters. To simulate navigation collisions, we introduce a Gaussian Splatting-based slice technique that directly extracts navigable areas from reconstructed Gaussians. Additionally, for ease of use, we provide comprehensive NavGSim APIs supporting multi-GPU development, including tools for custom scene reconstruction, robot configuration, policy training, and evaluation. To evaluate NavGSims effectiveness, we train a Vision-Language-Action (VLA) model using trajectories collected from the NavGSim and assess its performance in both simulated and real-world environments. Our results demonstrate that NavGSim significantly enhances the VLA models scene understanding, enabling the policy to handle diverse navigation queries effectively."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.333,15:00-16:30,Fully Distributed Real-Time MPC for Cooperative Mobile Manipulation Via Box-iLQR and ADMM with an Object-Centric Planar Projection,"Lee, Jeong tae; Park, Jin Ho; Yang, Seunghoon; Choi, Keun Ha; Kim, Kyung-Soo",Korea Advanced Institute of Science and Technology; Korea Advanced Institute of Science and Technology; Korea Advanced Institute of Science and Technology; Korea Advanced Institute of Science and Technology; KAIST(Korea Advanced Institute of Science and Technology),Control Architectures and Programming; Optimization and Optimal Control; Agent-Based Systems,Optimization and Optimal Control,,"We propose a emph{fully distributed} real-time model predictive control framework for transporting a single rigid object with multiple mobile manipulators. Each robot rapidly solves a local optimal control problem via Box-iLQR, while ADMM enforces consensus on the shared object state without centralized computation. The core idea is an object-centric planar orthographic projection that reduces the whole-body state and input dimensions, substantially lowering the computational load of linearization and the Riccati backward pass. Simulations demonstrate accurate trajectory tracking and consistent convergence. Specifically, the proposed dimension-reduced Box-iLQR solver operates at an average of 6.32 ms per iterationapproximately 4 times faster than a full 6-DoF model and cutting the computational cost of SQP-based methods nearly in half. Despite this significant reduction, our controller achieves comparable tracking accuracy, offering a practical alternative for real-time cooperative manipulation under limited compute and communication resources. The framework scales naturally with the number of robots and provides a concise and effective design for cooperative mobile manipulation grounded in real-time distributed optimization."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.334,15:00-16:30,Large-Language-Model-Guided State Estimation for Partially Observable Task and Motion Planning,"Kim, Yoonwoo; Arora, Raghav; Martín-Martín, Roberto; Stone, Peter; Abbatematteo, Ben; Sung, Yoonchang",University of Texas at Austin; University of Texas at Austin; University of Texas at Austin; The University of Texas at Austin; The University of Texas at Austin; Nanyang Technological University,Task and Motion Planning,Task and Motion Planning,,"Robot planning in partially observable environments, where not all objects are known or visible, is a challenging problem, as it requires reasoning under uncertainty through partially observable Markov decision processes. During the execution of a computed plan, a robot may unexpectedly observe task-irrelevant objects, which are typically ignored by naive planners. In this work, we propose incorporating two types of common-sense knowledge: (1) certain objects are more likely to be found in specific locations; and (2) similar objects are likely to be co-located, while dissimilar objects are less likely to be found together. Manually engineering such knowledge is complex, so we explore leveraging the powerful common-sense reasoning capabilities of large language models (LLMs). Our planning and execution framework, CoCo-TAMP, introduces a hierarchical state estimation that uses LLM-guided information to shape the belief over task-relevant objects, enabling efficient solutions to long-horizon task and motion planning problems. In experiments, CoCo-TAMP achieves an average reduction of 62.7% in planning and execution time in simulation, and 72.6% in real-world demonstrations, compared to a baseline that does not incorporate either type of common-sense knowledge."
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.336,15:00-16:30,The Price Is Not Right: Neuro-Symbolic Methods Outperform VLAs on Structured Long-Horizon Manipulation Tasks with Significantly Lower Energy Consumption,"Duggan, Timothy R.; Lorang, Pierrick; Lu, Hong; Scheutz, Matthias",Tufts University; AIT Austrian Institute of Technology GmbH - Tufts University; Tufts University; Tufts University,Deep Learning in Grasping and Manipulation; Task and Motion Planning; Perception for Grasping and Manipulation,Task and Motion Planning,,"Vision-Language-Action (VLA) models have recently been proposed as a pathway toward generalist robotic policies capable of interpreting natural language and visual inputs to generate manipulation actions. However, their effectiveness and efficiency on structured, long-horizon manipulation tasks remain unclear. In this work, we present a head-to-head empirical comparison between a fine-tuned open-weight VLA model (π 0 ) and a neuro-symbolic architecture that combines PDDL-based symbolic planning with learned low-level control. We evaluate both approaches on structured variants of the Towers of Hanoi manipulation task in simulation while measuring both task performance and energy consumption during training and execution. On the 3-block task, the neuro-symbolic model achieves 95% success compared to 34% for the best-performing VLA. The neuro-symbolic model also generalizes to an unseen 4-block variant (78% success), whereas both VLAs fail to complete the task. During training, VLA fine-tuning consumes nearly two orders of magnitude more energy than the neuro-symbolic approach. These results highlight important trade-offs between end-to-end foundation-model approaches and structured reasoning architectures for long-horizon robotic manipulation, emphasizing the role of explicit symbolic structure in improving reliability, data efficiency, and energy efficiency. Code and models are available at https://price-is-not-right.github.io"
Tuesday,TuI2I,Interactive Session,Hall C,TuI2I.337,15:00-16:30,Spectral Decomposition of Inverse Dynamics for Fast Exploration in Model-Based Manipulation,"Sigurdson, Solvin; Riviere, Benjamin; Burdick, Joel",California Institute of Technology; New York University; California Institute of Technology,Manipulation Planning; Dexterous Manipulation; Motion and Path Planning,Manipulation Planning; Motion and Path Planning,,"Planning long duration robotic manipulation sequences is challenging because of the complexity of exploring feasible trajectories through nonlinear contact dynamics and many contact modes. Moreover, this complexity grows with the problem's horizon length. We propose a search tree method that generates trajectories using the spectral decomposition of the inverse dynamics equation. This equation maps actuator displacement to object displacement, and its spectrum is efficient for exploration because its components are orthogonal and they approximate the reachable set of the object while remaining dynamically feasible. These trajectories can be combined with any search based method, such as Rapidly-Exploring Random Trees (RRT), for long-horizon planning. Our method performs similarly to recent work in model-based planning for short-horizon tasks, and differentiates itself with its ability to solve long-horizon tasks: whereas existing methods fail, ours can generate 45 second duration, 10+ contact mode plans using 15 seconds of computation, demonstrating real-time capability in highly complex domains."
